;Кількість слів у корпусі;Кількість унікальних словоформ;Розмір словника;Індекс різноманітності;Індекс повторюваності слів;Кількість слів з частотою 1 у корпусі;Кількість слів з частотою 1 у словнику;Індекс винятковості у корпусі;Індекс винятковості у словнику;Кількість слів з частотою більше 10 у корпусі;Кількість слів з частотою більше 10 у словнику;Індекс концентрації у корпусі;Індекс концентрації у словнику
Зі стоп-словами;1787168;185531;134117;0.07504442783219037;13.325439727998688;114256;90749;0.06393131479525148;0.6766405451956128;14716;9720;0.008234256656341206;0.07247403386595286
Без стоп-слів;959142;184119;133223;0.13889809850887563;7.199522604955601;114256;90674;0.11912313296675571;0.6806182115700742;14716;9047;0.008234256656341206;0.06790869444465295
