;lemma;absol_freq;relat_freq
0;Україна;3915;0.012416667195260416
1;війна;2224;0.007053555004408472
2;великий;1670;0.005296509378310318
3;робити;1337;0.004240379065150237
4;казати;1282;0.004065943127541214
5;кацап;1255;0.003980310939987694
6;питання;1099;0.003485547189678467
7;український;1071;0.0033967434396229646
8;країна;1051;0.00333331218958332
9;розуміти;909;0.002882950314301844
10;ворог;906;0.0028734356267958974
11;українець;893;0.002832205314270128
12;місто;887;0.0028131759392582348
13;знати;883;0.002800489689250306
14;зброя;836;0.0026514262516571414
15;росія;833;0.0026419115641511948
16;влада;771;0.0024452746890282965
17;військовий;763;0.0024199021890124388
18;орк;752;0.0023850150014906343
19;ракета;749;0.0023755003139846876
20;їсти;722;0.0022898681264311676
21;маріуполь;698;0.0022137506263835943
22;територія;680;0.002156662501347914
23;танк;661;0.0020964028138102516
24;нищити;651;0.0020646871887904294
25;вбити;648;0.0020551725012844827
26;зсу;638;0.0020234568762646605
27;писати;628;0.0019917412512448383
28;думати;627;0.001988569688742856
29;армія;612;0.0019409962512131227
30;народ;609;0.001931481563707176
31;бачити;607;0.0019251384387032116
32;нато;571;0.0018109621886318514
33;відповідь;552;0.001750702501094189
34;російський;533;0.0016904428135565267
35;дати;530;0.00168092812605058
36;день;527;0.0016714134385446334
37;військо;525;0.001665070313540669
38;проблема;521;0.00165238406353274
39;світ;512;0.0016238400010149
40;слово;484;0.0015350362509593976
41;рашист;475;0.0015064921884415576
42;президент;472;0.001496977500935611
43;зеленський;463;0.001468433438417771
44;Путін;444;0.0014081737508801085
45;рф;433;0.001373286563358304
46;почати;430;0.0013637718758523574
47;дія;426;0.0013510856258444285
48;сила;425;0.0013479140633424463
49;сша;423;0.0013415709383384818
50;місце;416;0.0013193700008246063
51;смерть;414;0.0013130268758206418
52;місяць;406;0.001287654375804784
53;йти;406;0.001287654375804784
54;воювати;400;0.0012686250007928907
55;стати;398;0.0012622818757889263
56;гроші;397;0.001259110313286944
57;втрата;394;0.0012495956257809972
58;піти;389;0.001233737813271086
59;життя;388;0.0012305662507691038
60;жаль;385;0.0012210515632631572
61;голова;385;0.0012210515632631572
62;Крим;383;0.0012147084382591927
63;справа;381;0.0012083653132552283
64;рок;380;0.001205193750753246
65;злочин;380;0.001205193750753246
66;знищення;377;0.0011956790632472994
67;москаль;371;0.001176649688235406
68;новий;371;0.001176649688235406
69;держава;361;0.0011449340632155838
70;земля;360;0.0011417625007136016
71;окупант;349;0.0011068753131917972
72;кацапський;347;0.0011005321881878327
73;дивитися;346;0.0010973606256858505
74;говорити;346;0.0010973606256858505
75;літак;339;0.0010751596881719747
76;потрібний;338;0.0010719881256699925
77;область;335;0.0010624734381640458
78;діти;334;0.0010593018756620636
79;мова;330;0.0010466156256541347
80;чекати;317;0.0010053853131283658
81;росіянин;317;0.0010053853131283658
82;тупий;313;0.000992699063120437
83;кращий;310;0.0009831843756144903
84;рашка;308;0.0009768412506105258
85;знищувати;304;0.0009641550006025969
86;захід;304;0.0009641550006025969
87;допомога;304;0.0009641550006025969
88;стан;302;0.0009578118755986324
89;зрадник;301;0.0009546403130966501
90;кордон;301;0.0009546403130966501
91;дорога;297;0.0009419540630887213
92;Європа;294;0.0009324393755827746
93;останній;293;0.0009292678130807924
94;частина;293;0.0009292678130807924
95;отримати;291;0.0009229246880768279
96;оборона;287;0.000910238438068899
97;шкода;287;0.000910238438068899
98;повний;284;0.0009007237505629524
99;зелений;280;0.0008880375005550235
100;санкція;276;0.0008753512505470945
101;залишитися;275;0.0008721796880451123
102;вважати;275;0.0008721796880451123
103;технік;272;0.0008626650005391656
104;працювати;271;0.0008594934380371834
105;зе;271;0.0008594934380371834
106;намагатися;267;0.0008468071880292545
107;рука;264;0.0008372925005233078
108;закон;261;0.0008277778130173611
